last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Sarbanes,Paul,S.,,,,2/3/1933,M,sen,MD,,1,Democrat,http://sarbanes.senate.gov/,,,,,,,,,S000064,1017,N00001979,S106,,,300086,,,,13039,Paul Sarbanes
Schaffer,Bob,,,,,7/24/1962,M,rep,CO,4,,Republican,,,,,,,,,,S000112,1524,N00006182,,,,400507,568,,,29711,Bob Schaffer
Shuster,Elmer,Greinert,,Bud,,1/23/1932,M,rep,PA,9,,Republican,,,,,,,,,,S000394,1055,N00001395,,,,400374,,,,14052,Bud Shuster
Watts,J.C.,,,,,11/18/1957,M,rep,OK,4,,Republican,,,,,,,,,,W000210,1208,N00005528,,,,400541,,,,29556,J. C. Watts
Talent,James,M.,,Jim,,10/18/1956,M,sen,MO,,1,Republican,http://talent.senate.gov/,,,,,,,,,T000024,1135,N00005004,S286,,,300096,,,,29369,Jim Talent
Acevedo-Vilá,Aníbal,,,,,2/13/1962,M,rep,PR,0,,Popular Democrat,http://www.house.gov/acevedo-vila,,,,,,,,,A000359,1679,N00009825,,,,400002,,,,,Aníbal Acevedo Vilá
Allard,Wayne,A.,,,,12/2/1943,M,sen,CO,,2,Republican,http://allard.senate.gov,,,,,,,,,A000109,11,N00009082,S250,S6CO00168,,300003,26783,,,29108,Wayne Allard
Ballance,Frank,W.,Jr.,,,2/15/1942,M,rep,NC,1,,Democrat,http://www.house.gov/ballance,,,,,,,,,B001238,1734,N00025005,,,,400014,,,,20339,Frank Ballance
Ballenger,Cass,,,,,12/6/1926,M,rep,NC,10,,Republican,http://www.house.gov/ballenger,,,,,,,,,B000104,50,N00002377,,,,400015,,,,15402,Cass Ballenger
Bell,Chris,,,,,11/23/1959,M,rep,TX,25,,Democrat,http://www.house.gov/bell,,,,,,,,,B001241,1750,N00024919,,,,400022,,,,20354,Chris Bell (politician)
Bereuter,Douglas,K.,,Doug,,10/6/1939,M,rep,NE,1,,Republican,http://www.house.gov/bereuter,,,,,,,,,B000403,80,N00005331,,,,400023,,,,14605,Doug Bereuter
Burns,Max,,,,,11/8/1948,M,rep,GA,12,,Republican,http://www.house.gov/burns,,,,,,,,,B001249,1721,N00025597,,,,400053,,,,20320,Max Burns
Carson,Brad,,,,,3/11/1967,M,rep,OK,2,,Democrat,http://carson.house.gov,,,,,,,,,C001044,1665,N00009704,,,,400066,,,,20132,Brad Carson
Coleman,Norm,,,,,8/17/1949,M,sen,MN,,2,Republican,http://coleman.senate.gov,,,,,,,,,C001057,1697,N00013870,S291,S2MN00126,,300024,20239,,,40302,Norm Coleman
Collins,Michael,Allen,,Mac,,10/15/1944,M,rep,GA,8,,Republican,http://www.house.gov/maccollins,,,,,,,,,C000640,222,N00002556,,,,400078,,,,29340,Mac Collins
Combest,Larry,,,,,3/20/1945,M,rep,TX,19,,Republican,http://www.house.gov/combest,,,,,,,,,C000653,224,N00006055,,,,400079,,,,15093,Larry Combest
Craig,Larry,E.,,,,7/20/1945,M,sen,ID,,2,Republican,http://craig.senate.gov,,,,,,,,,C000858,246,N00002091,S215,S0ID00057,,300029,53288,,,14809,Larry Craig
Crane,Philip,M.,,Phil,,11/3/1930,M,rep,IL,8,,Republican,http://www.house.gov/crane,,,,,,,,,C000873,249,N00004698,,,,400085,,,,12041,Phil Crane
Deutsch,Peter,,,,,4/1/1957,M,rep,FL,20,,Democrat,http://www.house.gov/deutsch,,,,,,,,,D000275,291,N00002839,,,,400106,,,,29335,Peter Deutsch
Dole,Elizabeth,H.,,,,7/29/1936,F,sen,NC,,2,Republican,http://dole.senate.gov/,,,,,,,,,D000601,1698,N00008071,S292,S2NC00083,,300035,41533,,,40303,Elizabeth Dole
Domenici,Pete,V.,,,,5/7/1932,M,sen,NM,,2,Republican,http://domenici.senate.gov,,,,,,,,,D000407,1319,N00006515,S027,S8NM00010,,300036,53325,,,14103,Pete Domenici
Dooley,Calvin,M.,,Cal,,1/11/1954,M,rep,CA,20,,Democrat,http://dooley.house.gov,,,,,,,,,D000424,306,N00007251,,,,400112,,,,29105,Cal Dooley
Dunn,Jennifer,B.,,,,7/29/1941,F,rep,WA,8,,Republican,http://www.house.gov/dunn,,,,,,,,,D000549,324,N00007823,,,,400117,,,,39312,Jennifer Dunn (politician)
Fletcher,Ernest,Lee,,Ernie,,11/12/1952,M,rep,KY,6,,Republican,http://www.house.gov/fletcher,,,,,,,,,F000441,1563,N00003430,,,,400135,,,,29917,Ernie Fletcher
Frost,Jonas,,III,Martin,,1/1/1942,M,rep,TX,24,,Democrat,http://www.house.gov/frost,,,,,,,,,F000392,419,N00005677,,,,400143,,,,14626,Martin Frost
Gephardt,Richard,Andrew,,Dick,,1/31/1941,M,rep,MO,3,,Democrat,http://dickgephardt.house.gov,,,,,,,,,G000132,433,N00005037,,,,400146,,,,14421,Dick Gephardt
Goss,Porter,J.,,,,11/26/1938,M,rep,FL,14,,Republican,http://www.house.gov/goss,,,,,,,,,G000336,450,N00002960,,,,400156,,,,15605,Porter Goss
Greenwood,James,C.,,Jim,,5/4/1951,M,rep,PA,8,,Republican,http://www.house.gov/greenwood,,,,,,,,,G000439,465,N00001519,,,,400161,,,,29397,James C. Greenwood
Hagel,Charles,T.,,Chuck,,10/4/1946,M,sen,NE,,2,Republican,http://hagel.senate.gov/,,,,,,,,,H001028,1545,N00005301,S255,S6NE00087,,300050,231,,,49704,Chuck Hagel
Hoeffel,Joseph,M.,,,,9/3/1950,M,rep,PA,13,,Democrat,http://www.house.gov/hoeffel,,,,,,,,,H001031,1579,N00001529,,,,400181,,,,29934,Joe Hoeffel
Houghton,Amory,,Jr.,Amo,,8/7/1926,M,rep,NY,29,,Republican,http://www.house.gov/houghton,,,,,,,,,H000814,563,N00001329,,,,400188,,,,15423,Amo Houghton
Janklow,William,J.,,Bill,,9/13/1939,M,rep,SD,0,,Republican,http://www.house.gov/janklow,,,,,,,,,J000286,1746,N00011046,,,,400200,,,,20348,Bill Janklow
John,Christopher,,,Chris,,1/5/1960,M,rep,LA,7,,Democrat,http://www.house.gov/john,,,,,,,,,J000110,1495,N00008038,,,,400203,,,,29727,Chris John
Kleczka,Gerald,D.,,Jerry,,11/26/1943,M,rep,WI,4,,Democrat,http://www.house.gov/kleczka,,,,,,,,,K000259,637,N00004330,,,,400223,,,,15082,Jerry Kleczka
Lipinski,William,O.,,,,12/22/1937,M,rep,IL,3,,Democrat,http://www.house.gov/lipinski,,,,,,,,,L000342,694,N00004856,,,,400243,,,,15036,Bill Lipinski
Lucas,Kenneth,R.,,Ken,,8/22/1933,M,rep,KY,4,,Democrat,http://www.house.gov/kenlucas,,,,,,,,,L000558,1562,N00003444,,,,400248,,,,29916,Ken Lucas
Majette,Denise,,,,,5/18/1955,F,rep,GA,4,,Democrat,http://www.house.gov/majette,,,,,,,,,M001145,1719,N00025138,,,,400250,,,,20318,Denise Majette
Matsui,Robert,T.,,,,9/17/1941,M,rep,CA,5,,Democrat,http://www.house.gov/matsui,,,,,,,,,M000249,748,N00007571,,,,400256,,,,14649,Bob Matsui
McCarthy,Karen,,,,,3/18/1947,F,rep,MO,5,,Democrat,http://mccarthy.house.gov/,,,,,,,,,M000316,756,N00005119,,,,400258,,,,29535,Karen McCarthy
McInnis,Scott,,,,,5/9/1953,M,rep,CO,3,,Republican,http://www.house.gov/mcinnis,,,,,,,,,M000477,775,N00006213,,,26492,400265,26782,,,29326,Scott McInnis
Nethercutt,George,R.,Jr.,,,10/7/1944,M,rep,WA,5,,Republican,http://www.house.gov/nethercutt,,,,,,,,,N000051,860,N00008166,,,,400292,,,,29581,George Nethercutt
Ose,Doug,,,,,6/27/1955,M,rep,CA,3,,Republican,http://www.house.gov/ose,,,,,,,,,O000164,1585,N00007581,,,,400304,16472,,,29902,Doug Ose
Quinn,Jack,,,,,4/13/1951,M,rep,NY,27,,Republican,http://www.house.gov/quinn,,,,,,,,,Q000016,938,N00001290,,,,400329,,,,29381,Jack Quinn (politician)
Sandlin,Max,A.,Jr.,,,9/29/1952,M,rep,TX,1,,Democrat,http://www.house.gov/sandlin,,,,,,,,,S000044,1523,N00005724,,,,400358,,,,29757,Max Sandlin
Schrock,Edward,L.,,Ed,,4/6/1941,M,rep,VA,2,,Republican,http://schrock.house.gov,,,,,,,,,S001151,1673,N00012656,,,,400362,,,,20142,Ed Schrock
Smith,Gordon,Harold,,,,5/25/1952,M,sen,OR,,2,Republican,http://gsmith.senate.gov/,,,,,,,,,S001142,1549,N00007815,S262,S6OR00094,,300090,425,,,49705,Gordon H. Smith
Smith,Nick,,,,,11/5/1934,M,rep,MI,7,,Republican,http://www.house.gov/nicksmith,,,,,,,,,S000597,1080,N00004113,,,,400382,,,,29364,Nick Smith (U.S. politician)
Stenholm,Charles,W.,,Charlie,,10/26/1938,M,rep,TX,17,,Democrat,http://www.house.gov/stenholm,,,,,,,,,S000851,1110,N00006060,,,,400389,,,,14664,Charles Stenholm
Stevens,Ted,F.,,,,11/18/1923,M,sen,AK,,2,Republican,http://stevens.senate.gov/,,,,,,,,,S000888,1440,N00007997,S090,S2AK00010,,300094,53268,,,12109,Ted Stevens
Sununu,John,E.,,,,9/10/1964,M,sen,NH,,2,Republican,http://sununu.senate.gov/,,,,,,,,,S001078,1532,N00000397,S296,S0NH00201,,300095,617,,,29740,John E. Sununu
Tauzin,William,J.,,Billy,,6/14/1943,M,rep,LA,3,,Republican,http://www.house.gov/tauzin,,,,,,,,,T000058,1140,N00005372,,,,400397,,,,14679,Billy Tauzin
Turner,James,,,Jim,,2/6/1946,M,rep,TX,2,,Democrat,http://www.house.gov/turner,,,,,,,,,T000424,1536,N00005731,,,,400410,,,,29758,Jim Turner (politician)
Warner,John,W.,,,,2/18/1927,M,sen,VA,,2,Republican,http://warner.senate.gov/,,,,,,,,,W000154,1452,N00002061,S143,S8VA00107,,300099,53356,,,14712,John Warner
Bayh,Evan,,,,,12/26/1955,M,sen,IN,,3,Democrat,http://bayh.senate.gov,,,,,,,,,B001233,1572,N00003762,S264,S8IN00049,,300006,22418,,,49901,Evan Bayh
Beauprez,Bob,,,,,9/22/1948,M,rep,CO,7,,Republican,http://www.house.gov/beauprez,,,,,,,,,B001240,1712,N00025443,,,,400020,,,,20312,Bob Beauprez
Bennett,Robert,F.,,,,9/18/1933,M,sen,UT,,3,Republican,http://bennett.senate.gov,,,,,,,,,B000382,1280,N00006347,S231,S2UT00104,25708,300007,53351,,,49307,Bob Bennett (politician)
Bilirakis,Michael,,,,,7/16/1930,M,rep,FL,9,,Republican,http://www.house.gov/bilirakis,,,,,,,,,B000463,89,N00002982,,,,400028,,,,15006,Michael Bilirakis
Boehlert,Sherwood,L.,,Sherry,,9/28/1936,M,rep,NY,24,,Republican,http://www.house.gov/boehlert,,,,,,,,,B000586,101,N00001267,,,,400035,,,,15007,Sherwood Boehlert
Bond,Christopher,S.,,Kit,,3/6/1939,M,sen,MO,,3,Republican,http://bond.senate.gov,,,,,,,,,B000611,1286,N00005178,S200,S6MO00289,2360,300010,53313,,,15501,Kit Bond
Bonilla,Henry,,,,,1/2/1954,M,rep,TX,23,,Republican,http://www.house.gov/bonilla,,,,,,,,,B000617,107,N00005985,,,,400037,,,,39302,Henry Bonilla
Bradley,Jeb,E.,,,,10/20/1952,M,rep,NH,1,,Republican,http://www.house.gov/bradley,,,,,,,,,B001246,1736,N00025059,,,,400045,,,,20335,Jeb Bradley
Brownback,Samuel,D.,,Sam,,9/12/1956,M,sen,KS,,3,Republican,http://brownback.senate.gov,,,,,,,,,B000953,137,N00005244,S249,S6KS00122,,300013,21952,,,29523,Sam Brownback
Bunning,Jim,,,,,10/23/1931,M,sen,KY,,3,Republican,http://bunning.senate.gov,,,,,,,,,B001066,146,N00003437,S265,S8KY00118,1457,300014,26874,,,15406,Jim Bunning
Chocola,Chris,,,,,2/24/1962,M,rep,IN,2,,Republican,http://www.house.gov/chocola,,,,,,,,,C001052,1726,N00012586,,,,400072,34186,,,20324,Chris Chocola
Cox,C.,Christopher,,,,10/16/1952,M,rep,CA,48,,Republican,http://cox.house.gov,,,,,,,,,C000830,242,N00007124,,,,400083,,,,15601,Christopher Cox
Cunningham,Randall,H.,,Duke,,12/8/1941,M,rep,CA,50,,Republican,http://www.house.gov/cunningham,,,,,,,,,C000994,258,N00007050,,,,400091,,,,29107,Duke Cunningham
Davis,James,,,Jim,,10/11/1957,M,rep,FL,11,,Democrat,http://www.house.gov/jimdavis,,,,,,,,,D000114,1478,N00002926,,,,400094,,,,29714,Jim Davis (Florida politician)
DeLay,Thomas,Dale,,Tom,,4/8/1947,M,rep,TX,22,,Republican,http://tomdelay.house.gov,,,,,,,,,D000217,282,N00005892,,,,400104,,,,15094,Tom DeLay
Dodd,Christopher,J.,,,,5/27/1944,M,sen,CT,,3,Democrat,http://dodd.senate.gov,,,,,,,,,D000388,302,N00000581,S150,S0CT00037,,300034,53277,,,14213,Chris Dodd
Dorgan,Byron,L.,,,,5/14/1942,M,sen,ND,,3,Democrat,http://dorgan.senate.gov,,,,,,,,,D000432,308,N00004615,S222,S2ND00040,2318,300037,53332,,,14812,Byron Dorgan
Evans,Lane,A.,,,,8/4/1951,M,rep,IL,17,,Democrat,http://www.house.gov/evans,,,,,,,,,E000250,361,N00004912,,,,400126,,,,15023,Lane Evans
Feingold,Russell,D.,,,,3/2/1953,M,sen,WI,,3,Democrat,http://feingold.senate.gov,,,,,,,,,F000061,1331,N00000036,S230,S8WI00026,,300042,53361,Russ Feingold,,49309,Russ Feingold
Foley,Mark,Adam,,,,9/8/1954,M,rep,FL,16,,Republican,http://www.house.gov/foley,,,,,,,,,F000238,396,N00002898,,,,400136,,,,29510,Mark Foley
Ford,Harold,E.,Jr.,,,5/11/1970,M,rep,TN,9,,Democrat,http://www.house.gov/ford,,,,,,,,,F000262,1483,N00003218,,,,400138,,,,29756,Harold Ford Jr.
Gibbons,James,A.,,Jim,,12/16/1944,M,rep,NV,2,,Republican,http://www.house.gov/gibbons,,,,,,,,,G000152,1485,N00006652,,,,400148,,,,29739,Jim Gibbons (American politician)
Green,Mark,A.,,,,6/1/1960,M,rep,WI,8,,Republican,http://www.house.gov/markgreen,,,,,,,,,G000545,1559,N00004391,,,,400159,,,,29941,Mark Andrew Green
Gregg,Judd,A.,,,,2/14/1947,M,sen,NH,,3,Republican,http://gregg.senate.gov/,,,,,,,,,G000445,466,N00000444,S224,S2NH00025,,300049,53321,,,14826,Judd Gregg
Gutknecht,Gilbert,W.,,Gil,,3/20/1951,M,rep,MN,1,,Republican,http://www.gil.house.gov,,,,,,,,,G000536,479,N00004527,,,,400164,,,,29532,Gil Gutknecht
Harris,Katherine,,,,,4/5/1957,F,rep,FL,13,,Republican,http://www.house.gov/harris,,,,,,,,,H001035,1714,N00024882,,,,400167,,,,20314,Katherine Harris
Hart,Melissa,A.,,,,4/4/1962,F,rep,PA,4,,Republican,http://hart.house.gov,,,,,,,,,H001033,1666,N00009715,,,,400168,,,,20133,Melissa Hart (politician)
Hayworth,John,D.,Jr.,J.D.,,7/12/1958,M,rep,AZ,5,,Republican,http://www.house.gov/hayworth,,,,,,,,,H000413,520,N00006455,,,,400173,22187,,,29502,J. D. Hayworth
Hefley,Joel,,,,,4/18/1935,M,rep,CO,5,,Republican,http://www.house.gov/hefley,,,,,,,,,H000444,524,N00000048,,,,400174,,,,15419,Joel Hefley
Hostettler,John,Nathan,,,,6/19/1961,M,rep,IN,8,,Republican,http://www.house.gov/hostettler,,,,,,,,,H000807,562,N00003897,,,,400187,21781,,,29520,John Hostettler
Hyde,Henry,John,,,,4/18/1924,M,rep,IL,6,,Republican,http://www.house.gov/hyde,,,,,,,,,H001022,580,N00004702,,,,400192,,,,14239,Henry Hyde
Istook,Ernest,J.,Jr.,,,2/11/1950,M,rep,OK,5,,Republican,http://www.house.gov/istook,,,,,,,,,I000047,586,N00005551,,,,400197,,,,29392,Ernest Istook
Jenkins,William,Lewis,,Bill,,11/29/1936,M,rep,TN,1,,Republican,http://www.house.gov/jenkins,,,,,,,,,J000082,1494,N00003202,,,,400202,,,,29755,Bill Jenkins (politician)
Johnson,Nancy,Lee,,,,1/5/1935,F,rep,CT,5,,Republican,http://www.house.gov/nancyjohnson,,,,,,,,,J000163,602,N00000561,,,,400205,,,,15028,Nancy Johnson
Kelly,Sue,W.,,,,9/26/1936,F,rep,NY,19,,Republican,http://www.house.gov/suekelly,,,,,,,,,K000078,624,N00001020,,,,400213,,,,29544,Sue W. Kelly
Kennedy,Mark,R.,,,,4/11/1957,M,rep,MN,6,,Republican,http://markkennedy.house.gov,,,,,,,,,K000358,1652,N00009670,,,,400214,,,,20121,Mark Kennedy (politician)
Kolbe,James,T.,,Jim,,6/28/1942,M,rep,AZ,8,,Republican,http://www.house.gov/kolbe,,,,,,,,,K000306,645,N00006486,,,,400226,,,,15105,Jim Kolbe
Leach,James,A.,,Jim,,10/15/1942,M,rep,IA,2,,Republican,http://www.house.gov/leach,,,,,,,,,L000169,672,N00004280,,,,400236,,,,14432,Jim Leach
Lincoln,Blanche,Lambert,,,,9/30/1960,F,sen,AR,,3,Democrat,http://lincoln.senate.gov/,,,,,,,,,L000035,1570,N00008092,S269,"S8AR00112,H2AR01022",26202,300068,26723,,,29305,Blanche Lincoln
Martinez,Mel,,,,,10/23/1946,M,sen,FL,,3,Republican,http://martinez.senate.gov,,,,,,,,,M001162,1769,N00026748,S304,S4FL00298,,400621,31193,,,40501,Mel Martínez
McKinney,Cynthia,,,,,3/17/1955,F,rep,GA,4,,Democrat,,,,,,,,,,M000523,780,N00002511,,,,400513,,,,29344,Cynthia McKinney
Ney,Robert,William,,Bob,,7/5/1954,M,rep,OH,18,,Republican,http://www.house.gov/ney,,,,,,,,,N000081,862,N00003532,,,,400293,,,,29552,Bob Ney
Northup,Anne,Meagher,,,,1/22/1948,F,rep,KY,3,,Republican,http://www.house.gov/northup,,,,,,,,,N000143,1508,N00003392,,,,400294,,,,29725,Anne Northup
Nussle,James,Allen,,Jim,,6/27/1960,M,rep,IA,1,,Republican,http://nussle.house.gov,,,,,,,,,N000172,871,N00004255,,,,400298,,,,29118,Jim Nussle
Osborne,Thomas,William,,Tom,,2/23/1937,M,rep,NE,3,,Republican,http://www.house.gov/osborne,,,,,,,,,O000165,1658,N00012970,,,,400303,,,,20126,Tom Osborne
Otter,C.L.,,,Butch,,5/3/1942,M,rep,ID,1,,Republican,http://www.house.gov/otter,,,,,,,,,O000166,1646,N00009637,,,,400305,,,,20114,Butch Otter
Owens,Major,R.,,,,6/28/1936,M,rep,NY,11,,Democrat,http://www.house.gov/owens,,,,,,,,,O000159,883,N00001074,,,,400306,,,,15050,Major R. Owens
Oxley,Michael,G.,,,,2/11/1944,M,rep,OH,4,,Republican,http://www.house.gov/oxley,,,,,,,,,O000163,885,N00003736,,,,400307,,,,14875,Mike Oxley
Pombo,Richard,W.,,,,1/8/1961,M,rep,CA,11,,Republican,http://www.house.gov/pombo/pombo.htm,,,,,,,,,P000419,921,N00007516,,,,400322,,,,29311,Richard Pombo
Ryun,Jim,R.,,,,4/29/1947,M,rep,KS,2,,Republican,http://www.house.gov/ryun,,,,,,,,,R000566,1521,N00005218,,,,400353,,,,29723,Jim Ryun
Sabo,Martin,Olav,,,,2/28/1938,M,rep,MN,5,,Democrat,http://www.house.gov/sabo,,,,,,,,,S000005,1007,N00004489,,,,400354,,,,14656,Martin Olav Sabo
Salazar,Ken,,,,,3/2/1955,M,sen,CO,,3,Democrat,http://salazar.senate.gov,,,,,,,,,S001163,1762,N00026892,S297,S4CO00163,,400619,1541,,,40500,Ken Salazar
Schwarz,John,J.H.,,Joe,,11/15/1937,M,rep,MI,7,,Republican,,,,,,,,,,S001161,1788,N00004128,,,,400637,,,,20515,Joe Schwarz
Shaw,E.,Clay,Jr.,,,4/19/1939,M,rep,FL,22,,Republican,http://www.house.gov/shaw,,,,,,,,,S000303,1047,N00002877,,,,400369,,,,14860,E. Clay Shaw Jr.
Sherwood,Donald,L.,,Don,,3/5/1941,M,rep,PA,10,,Republican,http://www.house.gov/sherwood,,,,,,,,,S001146,1589,N00001510,,,,400372,,,,29933,Don Sherwood
Simmons,Robert,Ruhl,,Rob,,2/11/1943,M,rep,CT,2,,Republican,http://www.house.gov/simmons,,,,,,,,,S001152,1642,N00009608,,,,400375,,,,20109,Rob Simmons
Sodrel,Michael,E.,,,,12/17/1945,M,rep,IN,9,,Republican,,,,,,,,,,S001160,1783,N00013869,,,,400632,33988,,,20510,Mike Sodrel
Specter,Arlen,,,,,2/12/1930,M,sen,PA,,3,Democrat,http://specter.senate.gov/,,,,,,,,,S000709,1437,N00001604,S161,S6PA00100,,300092,53340,,,14910,Arlen Specter
Strickland,Ted,,,,,8/4/1941,M,rep,OH,6,,Democrat,http://www.house.gov/strickland,,,,,,,,,S001004,1118,N00003730,,,,400390,,,,29747,Ted Strickland
Sweeney,John,E.,,,,8/9/1955,M,rep,NY,20,,Republican,http://www.house.gov/sweeney,,,,,,,,,S001149,1591,N00009821,,,,400393,,,,29927,John E. Sweeney
Taylor,Charles,H.,,,,1/23/1941,M,rep,NC,11,,Republican,http://www.house.gov/charlestaylor,,,,,,,,,T000067,1141,N00002383,,,,400398,,,,29135,Charles H. Taylor
Thomas,William,M.,,Bill,,12/6/1941,M,rep,CA,22,,Republican,http://www.house.gov/billthomas,,,,,,,,,T000188,1148,N00007256,,,,400401,,,,14669,Bill Thomas
Voinovich,George,V.,,,,7/15/1936,M,sen,OH,,3,Republican,http://voinovich.senate.gov/,,,,,,,,,V000126,1575,N00003583,S271,S8OH00011,1783,300098,21745,,,49903,George Voinovich
Weldon,W.,Curtis,,Curt,,7/22/1947,M,rep,PA,7,,Republican,http://curtweldon.house.gov/,,,,,,,,,W000268,1214,N00001535,,,,400428,,,,15447,Curt Weldon
Sekula-Gibbs,Shelley,,,,,6/22/1953,F,rep,TX,22,,Republican,,,,,,,,,,S001166,1819,N00028489,,,,412185,,,,20541,Shelley Sekula-Gibbs
