id,chamber,cid,calendar_year,report_type,liability_spouse_joint_dep,creditor,orgname,ulorg,realcode,source,type_of_liability,liability_loc,liability_date,liability_date_text,liability_term,liability_term2,liability_interest_rate,liability_amount,dupe
A160017014,s,N00024790,16,Y,S,"Citizens Bank Manchester, NH",Citizens Bank,,Y0000,,Mortgage,,",", ,2010,,4.5% (10 years),6,M
A160017015,s,N00024790,16,Y,S,"TD Bank Concord, NH",TD Bank USA,,Y0000,,Mortgage,,",", ,2010,,5.64% (10 years),3,M
A160017016,s,N00024790,16,Y, ,"Sun Trust Bank Ravenna, OH","Sun Trust Bank Ravenna, OH",,Y0000,,Mortgage,,",", ,2012,,2.99% (15 years),5,M
A160017017,s,N00024790,16,Y,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2015,,3.99% (30 years),6,M
A160017018,s,N00024790,16,Y,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Promissory Note,,",", ,2012,,4.5% (5 years),2,
A160017019,s,N00024790,16,Y,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2013,,"5% (20 years, 5 yr. ARM)",2,
A160017020,s,N00024790,16,Y,S,"Salem Five Bank Salem, MA",Salem Five Bank,,Y0000,,Mortgage,,",", ,2014,,"4.4% (20 yrs, 5-yr ARM)",5,M
A160017021,s,N00024790,16,Y,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2014,,5% (on demand),2,
A160017022,s,N00024790,16,Y,S,"Salem Five Bank Salem, NH","Salem Five Bank Salem, NH",,Y0000,,Mortgage,,",", ,2015,,"4.29% (20 years, 5 year ARM)",5,M
A160017023,s,N00024790,16,Y,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Other (Promissory Demand Note),,",", ,2015,,5% (On demand ),3,
A160017024,s,N00024790,16,Y,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2016,,"4.5% (20 year, 5 year ARM)",5,M
A160017025,s,N00024790,16,Y,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2015,,5% (on demand),3,
E150017026,s,N00024790,15,A,J,"National Capital Bank Washington, DC",National Capital Bank,,Y0000,,Mortgage,,",", ,2012,,4.19% (20 years),5,M
E150017027,s,N00024790,15,A,S,"Lucy J. Karl Trust of 1994 Concord, NH",Lucy J Karl Trust of 1994,,Y0000,,Mortgage,,",", ,2012,,4.5% (10 years),2,M
E150017028,s,N00024790,15,A,S,"Citizens Bank Manchester, NH",Citizens Bank,,Y0000,,Mortgage,,",", ,2010,,4.5% (10 years),7,M
E150017029,s,N00024790,15,A,S,"TD Bank Concord, NH",TD Bank USA,,Y0000,,Mortgage,,",", ,2010,,5.64% (10 years),3,M
E150017030,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2012,,"4.5% (20 years, 5 yr. ARM)",4,M
E150017031,s,N00024790,15,A, ,"Sun Trust Bank Ravenna, OH","Sun Trust Bank Ravenna, OH",,Y0000,,Mortgage,,",", ,2012,,2.99% (15 years),5,m
E150017032,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2015,,3.99% (30 years),6,M
E150017033,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Promissory Note,,",", ,2012,,4.5% (5 years),2,
E150017034,s,N00024790,15,A,S,"Marcia Kimball Moutonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2013,,"6.68% (20 years, 5 yr. ARM)",2,
E150017035,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2012,,"4.13% (15 years, 5 yr. ARM)",5,M
E150017036,s,N00024790,15,A,S,"Salem Five Bank Salem, MA",Salem Five Bank,,Y0000,,Mortgage,,",", ,2014,,"4.4% (20 yrs, 5-yr ARM)",6,M
E150017037,s,N00024790,15,A,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2014,,5% (1 year),2,
E150017038,s,N00024790,15,A,S,"Salem Five Bank Salem, NH","Salem Five Bank Salem, NH",,Y0000,,Mortgage,,",", ,2015,,"4.29% (20 years, 5 year ARM)",5,M
E150017039,s,N00024790,15,A,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Other (Promissory Demand Note),,",", ,2015,,5% (On demand ),3,
E150017040,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2010,,"3.87% (20 years, 5 year ARM)",5,M
E150017041,s,N00024790,15,A,S,"People's United Bank Brattleboro, VT",People's United Bank,,Y0000,,Mortgage,,",", ,2013,,"2.5% (30 years, 5 year ARM )",5,M
E150017042,s,N00024790,15,A,S,"Salem Five Bank Salem, MA",Salem Five Bank,,Y0000,,Mortgage,,",", ,2013,,"3.5% (20 years, 5 year ARM)",5,M
E150017043,s,N00024790,15,A,S,"Marcia Kimball Moultonborough, NH","Marcia Kimball Moutonborough, NH",,Y0000,,Promissory Note,,",", ,2015,,5% (on demand),3,
A160017044,s,N00004118,16,Y, ,"Talmer Bank and Trust Troy, MI",Talmer Bank & Trust,,Y0000,,Mortgage,,",", ,2015,,3.875% (30 years),5,M
A160017045,s,N00004118,16,Y, ,"Talmer Bank and Trust Troy, MI",Talmer Bank & Trust,,Y0000,,Home Equity Line of Credit,,",", ,2012,,5% (5 years),5,M
A160017046,s,N00004118,16,Y, ,"Talmer Bank and Trust Troy, MI",Talmer Bank & Trust,,Y0000,,Mortgage,,",", ,2015,,4% (30 years),4,M
A160017047,s,N00040607,16,O, ,"Oakworth Capital Bank Birmingham, AL","Oakworth Capital Bank Birmingham, AL",,Y0000,,Home Equity Line of Credit,,",", ,2012,,4.00% (30),4,m
A160017048,s,N00012508,16,A,J,"Citizens Bank Wilmington, Delaware",Citizens Bank,,Y0000,,Mortgage,,",", ,2009,,4.5% (15 years),4,M
A160017049,s,N00027503,16,Y,J,"First National Community Bank Dumore, Pennsylvania",First National Community Bank Dunmore,,Y0000,,Mortgage,,",", ,2008,,4.250% (30 years),3,M
A160017050,s,N00027503,16,Y,J,"First National Community Bank Dumore, Pennsylvania",First National Community Bank Dunmore,,Y0000,,Home Equity Line of Credit,,",", ,2008,,5% (20 years),2,M
A160017051,s,N00027503,16,Y,J,"Wayne Bank Honesdale, Pennsylvania","Wayne Bank Honesdale, PA",,Y0000,,Mortgage,,",", ,2014,,4.5% (comes due 11/17/2026),2,M
E150017052,s,N00000491,15,A, ,"Wells Fargo San Francisco, CA",Wells Fargo,,Y0000,,Mortgage,,",", ,2012,,3.125% (7/1 ARM),5,M
A160017053,s,N00000491,16,Y, ,"Wells Fargo San Francisco, CA",Wells Fargo,,Y0000,,Mortgage,,",", ,2012,,3.125% (7/1 ARM),5,M
A160017054,s,N00024852,16,Y,J,"Wells Fargo Des Moines, IA",Wells Fargo,,Y0000,,Mortgage,,",", ,2010,,4.375% (30),5,M
A160017055,s,N00024852,16,Y,J,"Wells Fargo Des Moines, IA",Wells Fargo,,Y0000,,Mortgage,,",", ,2012,,3% (15),5,M
A160017056,s,N00024852,16,Y, ,"Citibank Sioux Falls, SC",Citibank,,Y0000,,Revolving Charge,,",", ,2014,,16.99% (On Demand),2,
A160017057,s,N00037161,16,Y,J,"Ditech Financial LLC Rapid City, South Dakota","Ditech Financial LLC Rapid City, South Dakota",,Y0000,,Mortgage,,",", ,2007,,4.75% (30 years),5,
A160017058,s,N00006267,16,Y,J,"Wells Fargo Idaho Falls, Idaho","Wells Fargo Idaho Falls, Idaho",,Y0000,,Mortgage,,",", ,2015,,3.125% (15 years),5,M
A160017059,s,N00026586,16,Y,J,"Notre Dame Federal Credit Union Notre Dame, IN","Notre Dame Federal Credit Union Notre Dame, IN",,Y0000,,Mortgage,,",", ,2016,,2.875% (20 years),5,
A160017060,s,N00026586,16,Y,J,"Chase Mortgage Michigan City, IN","Chase Mortgage Michigan City, IN",,Y0000,,Mortgage,,",", ,2012,,3.875% (20 years),5,
A160017061,s,N00035483,16,Y,J,"BB&T Mortgage Greenville, SC","BB&T Mortgage Greenville, SC",,Y0000,,Mortgage,,",", ,2015,,3.875% (30 years),5,m
A160017062,s,N00035483,16,Y,J,"US Bank Home Mortgage Owensboro, KY",US Bank Home Mortgage,,Y0000,,Mortgage,,",", ,2013,,2.99% (15 years),5,m
A160017063,s,N00033443,16,Y,J,"Cedar Rapids State Bank Cedar Rapids, NE",Cedar Rapids State Bank,,Y0000,,Mortgage,,",", ,2005,,4.5% (On Demand),6,
A160017064,s,N00033443,16,Y,J,"Farm Credit Services Valentine, NE",Farm Credit Services,,Y0000,,Mortgage,,",", ,2003,,4.59% (20 Years),5,
A160017065,s,N00033443,16,Y,J,"TD Bank Mount Laurel, NJ",TD Bank Mount,,Y0000,,Mortgage,,",", ,2014,,3.7% (30 Years),5,m
w130016638,s,N00000528,13,A, ,"Congressional Federal Credit Union Washington, DC",Congressional Federal Credit Union,,Y0000,,Other (VISA CARD),,",", ,1991,,8.5% (Revolving),1,d
w130016639,s,N00000528,13,A, ,"U.S. Senate Federal Credit Union Washington, DC",US Senate Federal Credit Union,,Y0000,,Other (VISA CARD),,",", ,2006,,10.25% (Revolving),2,d
w130016640,s,N00000528,13,A, ,"Quicken Loans Detroit, MI",Quicken Loans,,Y0000,,Mortgage,,",", ,2013,,3.25% (30),5,d
